DATE,AQI,PM2.5,PM10,SO2,NO2,CO2,O3
01-10-2021,29,10,27,2,20,0.39,43
02-10-2021,55,27,61,2,31,0.73,25
03-10-2021,50,28,56,2,24,0.81,39
04-10-2021,18,3,18,2,13,0.25,39
05-10-2021,13,5,12,2,17,0.33,23
06-10-2021,11,5,6,3,15,0.34,30
07-10-2021,17,7,14,2,15,0.28,33
08-10-2021,27,13,25,2,20,0.39,38
09-10-2021,34,22,26,2,26,0.58,39
10-10-2021,23,3,20,2,13,0.25,50
11-10-2021,27,7,25,2,25,0.31,30
12-10-2021,33,11,32,2,28,0.39,33
13-10-2021,48,28,47,2,41,0.5,33
14-10-2021,40,17,41,3,32,0.5,29
15-10-2021,27,7,27,2,16,0.3,40
16-10-2021,22,3,18,2,10,0.25,48
17-10-2021,38,15,41,2,32,0.38,21
18-10-2021,58,34,66,2,40,0.52,20
19-10-2021,24,5,20,2,18,0.26,43
20-10-2021,44,22,46,2,36,0.43,22
21-10-2021,35,15,34,2,25,0.36,34
22-10-2021,30,8,28,2,25,0.28,42
23-10-2021,54,29,57,3,41,0.45,30
24-10-2021,91,68,82,3,50,0.68,34
25-10-2021,153,116,107,3,56,0.92,36
26-10-2021,87,57,60,2,33,0.59,38
27-10-2021,31,7,30,2,30,0.32,32
28-10-2021,46,18,50,2,38,0.49,22
29-10-2021,94,66,92,4,60,0.82,20
30-10-2021,126,95,97,3,54,0.89,31
01-09-2021,40,15,35,2,23,0.5,84
02-09-2021,45,20,43,2,21,0.55,91
03-09-2021,53,27,52,2,20,0.65,98
04-09-2021,35,21,33,2,16,0.79,75
05-09-2021,25,13,23,2,14,0.53,59
06-09-2021,19,4,8,3,11,0.4,51
07-09-2021,28,10,26,2,17,0.45,62
08-09-2021,38,19,36,2,18,0.58,92
09-09-2021,47,32,48,2,22,0.73,71
10-09-2021,53,31,53,2,20,0.79,90
11-09-2021,65,42,72,2,22,0.93,97
12-09-2021,50,28,53,2,21,0.91,54
13-09-2021,35,17,32,2,18,0.77,55
14-09-2021,37,19,36,2,19,0.78,44
15-09-2021,44,18,44,2,26,0.7,43
16-09-2021,31,15,31,2,24,0.68,29
17-09-2021,27,8,22,2,19,0.42,44
18-09-2021,42,18,44,2,28,0.53,43
19-09-2021,31,20,30,2,19,0.6,44
20-09-2021,21,4,5,2,11,0.52,61
21-09-2021,20,4,13,2,15,0.43,51
22-09-2021,29,8,26,2,20,0.43,59
23-09-2021,47,20,47,3,28,0.66,68
24-09-2021,24,14,20,2,18,0.86,51
25-09-2021,26,13,23,2,16,0.6,52
26-09-2021,21,12,20,2,20,0.58,32
27-09-2021,27,11,23,2,19,0.49,48
28-09-2021,47,22,49,2,27,0.62,44
29-09-2021,43,17,43,2,26,0.54,47
30-09-2021,54,30,58,3,24,0.85,52
01-08-2021,23,5,17,2,9,0.37,66
02-08-2021,24,4,18,2,11,0.38,66
03-08-2021,39,15,39,2,12,0.7,89
04-08-2021,49,28,47,2,14,0.75,109
05-08-2021,43,25,41,2,12,0.68,109
06-08-2021,40,23,40,2,16,0.58,85
07-08-2021,68,40,69,2,17,0.73,108
08-08-2021,64,40,76,2,19,0.77,107
09-08-2021,40,16,23,2,9,0.58,121
10-08-2021,35,13,28,2,15,0.56,90
11-08-2021,52,29,53,2,18,0.82,89
12-08-2021,48,26,48,2,13,0.89,95
13-08-2021,42,21,41,2,15,0.72,90
14-08-2021,36,22,36,2,12,0.68,86
15-08-2021,34,19,34,2,14,0.64,68
16-08-2021,35,22,33,2,14,0.76,75
17-08-2021,27,9,16,2,10,0.53,77
18-08-2021,33,14,32,2,18,0.53,69
19-08-2021,29,14,22,2,13,0.59,67
20-08-2021,26,8,15,2,11,0.62,77
21-08-2021,31,10,25,2,15,0.55,67
22-08-2021,58,33,67,2,17,1.32,85
23-08-2021,49,25,49,2,11,0.69,96
24-08-2021,24,8,17,2,11,0.38,73
25-08-2021,19,5,16,2,14,0.37,57
26-08-2021,19,4,15,2,12,0.37,52
27-08-2021,24,7,20,3,15,0.41,55
28-08-2021,26,9,24,2,19,0.43,42
29-08-2021,37,16,38,2,17,0.45,73
30-08-2021,50,25,50,2,21,0.58,82
31-08-2021,42,23,37,2,18,0.62,85
01-07-2021,34,12,27,2,12,0.43,96
02-07-2021,37,10,23,2,10,0.4,109
03-07-2021,37,7,15,2,9,0.47,113
04-07-2021,33,9,21,2,14,0.41,82
05-07-2021,35,10,29,2,19,0.47,82
06-07-2021,38,11,20,3,10,0.49,116
07-07-2021,49,21,40,2,15,0.64,108
08-07-2021,38,12,31,2,17,0.48,92
09-07-2021,51,16,37,2,15,0.55,125
10-07-2021,62,31,67,2,19,0.87,116
11-07-2021,49,26,48,2,14,0.85,120
12-07-2021,16,4,5,2,8,0.44,51
13-07-2021,21,8,16,2,12,0.59,59
14-07-2021,37,19,33,2,13,0.75,93
15-07-2021,45,26,42,3,13,0.87,106
16-07-2021,34,17,32,2,10,0.73,95
17-07-2021,23,12,22,3,9,0.58,52
18-07-2021,26,15,25,2,11,0.61,47
